timestamp,raw,normalizado,resultado,detalle
2026-06-17 12:16:12,38430,434-99-038430,ENCONTRADO,Contrato encontrado en el alcance de auditoría.
2026-06-17 12:16:21,38430,434-99-038430,OK,OK | OK | Cantidad 4/4 | Peso total esperado 6.6 | Peso con bolsa esperado 8.2 | Peso bruto evidenciado None | Neto calculado None | Diff None
2026-06-17 12:16:22,434'01'003022,434-01-003022,ENCONTRADO,Contrato encontrado en el alcance de auditoría.
2026-06-17 12:17:01,434'01'003022,434-01-003022,OK,OK | OK | Cantidad 1/1 | Peso total esperado 6.4 | Peso con bolsa esperado 8.0 | Peso bruto evidenciado None | Neto calculado None | Diff None
2026-06-17 12:17:01,434'01'003026,434-01-003026,ENCONTRADO,Contrato encontrado en el alcance de auditoría.
2026-06-17 12:17:33,434'01'003026,434-01-003026,OK,OK | OK | Cantidad 3/3 | Peso total esperado 15.6 | Peso con bolsa esperado 17.2 | Peso bruto evidenciado None | Neto calculado None | Diff None
2026-06-17 12:17:34,434'01'003030,434-01-003030,ENCONTRADO,Contrato encontrado en el alcance de auditoría.
